"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"audio","0.1-12"
"base","4.5.2"
"base64enc","0.1-6"
"beepr","2.0"
"boot","1.3-32"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"cli","3.6.5"
"codetools","0.2-20"
"colorspace","2.1-2"
"compiler","4.5.2"
"corrplot","0.95"
"cpp11","0.5.3"
"crayon","1.5.3"
"curl","7.0.0"
"dagitty","0.3-4"
"data.table","1.17.8"
"datasets","4.5.2"
"digest","0.6.39"
"dplyr","1.2.0"
"ellipsis","0.3.2"
"evaluate","1.0.5"
"fake","1.5.0"
"fansi","1.0.7"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"foreach","1.5.2"
"Formula","1.2-5"
"fs","1.6.7"
"future","1.70.0"
"future.apply","1.20.2"
"generics","0.1.4"
"ggplot2","4.0.2"
"ggrepel","0.9.6"
"glassoFast","1.0.1"
"glmnet","4.1-10"
"globals","0.19.1"
"glue","1.8.0"
"graphics","4.5.2"
"grDevices","4.5.2"
"grid","4.5.2"
"gridExtra","2.3"
"gtable","0.3.6"
"highr","0.12"
"htmltools","0.5.9"
"httr","1.4.8"
"igraph","2.1.4"
"isoband","0.3.0"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"kableExtra","1.4.0"
"knitr","1.51"
"labeling","0.4.3"
"lattice","0.22-9"
"lifecycle","1.0.5"
"listenv","0.10.1"
"magrittr","2.0.4"
"MASS","7.3-65"
"Matrix","1.7-5"
"mclust","6.1.2"
"memoise","2.0.1"
"methods","4.5.2"
"mgcv","1.9-4"
"mime","0.13"
"missForestPredict","1.0.1"
"munsell","0.5.1"
"nlme","3.1-169"
"nloptr","2.2.1"
"openssl","2.3.5"
"openxlsx","4.2.8.1"
"parallel","4.5.2"
"parallelly","1.46.1"
"pheatmap","1.0.13"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"plotrix","3.8-14"
"plyr","1.8.9"
"pROC","1.19.0.1"
"processx","3.8.7"
"ps","1.9.2"
"purrr","1.2.1"
"R6","2.6.1"
"randomForest","4.7-1.2"
"ranger","0.18.0"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.6"
"remotes","2.5.0"
"rlang","1.1.7"
"rmarkdown","2.31"
"rstudioapi","0.18.0"
"rvest","1.0.5"
"S7","0.2.1"
"sass","0.4.10"
"scales","1.4.0"
"selectr","0.5-1"
"shape","1.4.6.1"
"sharp","1.4.8"
"splines","4.5.2"
"stats","4.5.2"
"stats4","4.5.2"
"stringi","1.8.7"
"stringr","1.6.0"
"survival","3.8-6"
"svglite","2.2.2"
"sys","3.4.3"
"systemfonts","1.3.2"
"table1","1.5.1"
"tcltk","4.5.2"
"textshaping","1.0.4"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tinytex","0.59"
"tools","4.5.2"
"utf8","1.2.6"
"utils","4.5.2"
"V8","8.0.1"
"vctrs","0.7.2"
"viridisLite","0.4.3"
"webshot","0.5.5"
"withr","3.0.2"
"xfun","0.57"
"xml2","1.4.0"
"yaml","2.3.12"
"zip","2.3.3"
